asin,description,manufacturer,name,no_of_reviews,price,rating,url
B0B1HM2ZGX,"Mrtucci Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.",Martuci,Martucci 16 inch 36L Casual Waterproof Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,,599,3.8,https://amazon.in/dp/B0B1HM2ZGX
B07MGDH98T,,,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (Grey & Sky Blue),,1499,4.2,https://amazon.in/dp/B07MGDH98T
B097L4GWB3,,Safari,,,2009,N/A,https://amazon.in/dp/B097L4GWB3
B07BZ5VC4H,,No,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,,2099,4.5,https://amazon.in/dp/B07BZ5VC4H
B0BWNBQXDZ,,Acefour Accessories Pvt. Ltd.,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,1800,4.4,https://amazon.in/dp/B0BWNBQXDZ
B07FZN5K3N,"Explore and travel, you're the one who thrives on adventure, and the 'Safari PRISMA 4W' is your constant companion. Put on your sneakers, get out with friends, and take your bag with you. Spacious and light weight, its large, colour blocked interiors and a unique stand-out wheel design make it agile and easy to carry. Whether an overnight trip or a drive into the unknown, you know you've always got company.",No,,,3219,N/A,https://amazon.in/dp/B07FZN5K3N
B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,,979,4.4,https://amazon.in/dp/B07G4F6XFH
B097RJ22Q3,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.,Bagzone Lifestyle Pvt Ltd,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,,1049,4.0,https://amazon.in/dp/B097RJ22Q3
B09QL66G55,,WildHorn,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",,599,4.1,https://amazon.in/dp/B09QL66G55
B019HA8AYG,,No,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,,199,3.7,https://amazon.in/dp/B019HA8AYG
B0BJ32LQ6X,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,,849,3.9,https://amazon.in/dp/B0BJ32LQ6X
B07YDGQQN5,,Fur Jaden,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",,849,4.3,https://amazon.in/dp/B07YDGQQN5
B0C7HC675G,"DURABLE & COMFORTABLE Oxford Fabric Thanks to dyazo slim backpack Water-Resistant And Scratch-Resistant fabric Offers Long Life And Can Be Used As A Daily Backpack, Work Backpack or A Study Bookbag, Sutable As A Business Laptop Backpack For Men Women Adult Teens Or Daily Use Anywhere",,Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,,599,4.5,https://amazon.in/dp/B0C7HC675G
B097NHH5YY,,,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Mini Travel Bag for for Girls Boys Toddler Baby Cute Dog & Koala,,448,4.0,https://amazon.in/dp/B097NHH5YY
B08FTHBRPY,"Packing food, clothing, toys and accessories for your baby is convenient and made easy with the Solimo Diaper Backpack. Made using 100% polyester water resistant fabric, it is durable, long lasting and easy to clean in case of spills and accidents. This spacious backpack is made using quality materials and stitching and is tested in an NABL accredited lab against 72 parameters for quality, performance and safety. It is free from harmful chemicals like Azo dye and formaldehyde, making it safe for everyday use. For your peace of mind it comes with a 1 year warranty against manufacturing defects. The Solimo Diaper Backpack is equipped with zipper closures that are sturdy and convenient to use. Built with a quick access back opening, it leads directly to the interior of the bag and can be used with one hand. This backpack features an insulated pocket that can store 3 feeding bottles with ease. A side tissue pocket is zipperless and easy to reach and pull out. This backpack also has a back mobile pocket that is discrete to help prevent theft. With shoulder and tote carrying straps, you can decide which is more comfortable for you. From diapers, towels, tissues, feeding bottles and toys, this diaper backpack is ideal for park trips, outings and everyday activities.",,"Amazon Brand - Solimo Diaper Backpack, Cat Print",,1349,4.0,https://amazon.in/dp/B08FTHBRPY
B08D5RCWV9,,Vancouver Store,Blue Tree Kids Backpack Mini Travel Bag 1-6 Years COW,,298,4.0,https://amazon.in/dp/B08D5RCWV9
B0BXFDK5J2,,Acefour Accessories Pvt. Ltd.,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,2400,4.3,https://amazon.in/dp/B0BXFDK5J2
B0821PYKVK,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Large in size, they easily fit any large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 15 bags for your convenience.","SINAR INDAH PULP  PAPER PVT LTD Plot No: 122 B, Sec-6, HSIIDC, IGC,Bawal-123501, Distt - RewariHR","Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",,329,4.3,https://amazon.in/dp/B0821PYKVK
B082Y7TZ8Z,,TSpark,"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack",,3999,4.4,https://amazon.in/dp/B082Y7TZ8Z
B09W3XLDM2,,,Amazon Basics Laptop Backpack,,649,4.2,https://amazon.in/dp/B09W3XLDM2
B09SB5DP5Y,,,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",,310,4.1,https://amazon.in/dp/B09SB5DP5Y
B09W4VMZ79,,,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,,699,4.0,https://amazon.in/dp/B09W4VMZ79
B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,No,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,,899,4.3,https://amazon.in/dp/B07M9BRCQ5
B085MHDJ93,,Amazing Bags,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",,649,3.9,https://amazon.in/dp/B085MHDJ93
